city;region;radar;garder;Près de;Nom dataset;;;;;
Aberdare;New South Wales;;#N/A;;;;;;;
Adelaide;South Australia;adelaide;oui;;;;;;;
Albany;Western Australia;Perth;oui;;;;;;;
Albury;New South Wales;canberra;oui;;;;;;;
Aldgate;South Australia;;#N/A;;;;;;;
Alexandra;Victoria;;#N/A;;;;;;;
AliceSprings;Northern Territory;loin??;oui;uluru;;;;;;
Alstonville;New South Wales;;#N/A;;;;;;;
Andergrove;Queensland;;#N/A;;;;;;;
Angle Vale;South Australia;;#N/A;;;;;;;
Anglesea;Victoria;;#N/A;;;;;;;
Anna Bay;New South Wales;;#N/A;;;;;;;
Appin;New South Wales;;#N/A;;;;;;;
Ararat;Victoria;;#N/A;;;;;;;
Armidale;New South Wales;;#N/A;;;;;;;
Atherton;Queensland;;#N/A;;;;;;;
Australind;Western Australia;;#N/A;;;;;;;
Ayr;Queensland;;#N/A;;;;;;;
Bacchus Marsh;Victoria;;#N/A;;;;;;;
BadgerysCreek;New South Wales;sydney;oui;;;;;;;
Bairnsdale;Victoria;melbourne;#N/A;;;;;;;
Ballan;Victoria;;#N/A;;;;;;;
Ballarat;Victoria;melbourne;oui;;;;;;;
Ballina;New South Wales;;#N/A;;;;;;;
Bannockburn;Victoria;;#N/A;;;;;;;
Banora Point;New South Wales;;#N/A;;;;;;;
Bargara;Queensland;;#N/A;;;;;;;
Bargo;New South Wales;;#N/A;;;;;;;
Barwon Heads;Victoria;;#N/A;;;;;;;
Batemans Bay;New South Wales;;#N/A;;;;;;;
Bathurst;New South Wales;;#N/A;;;;;;;
Bay View;New South Wales;;#N/A;;;;;;;
Beachmere;Queensland;;#N/A;;;;;;;
Beaconsfield Upper;Victoria;;#N/A;;;;;;;
Beaudesert;Queensland;;#N/A;;;;;;;
Beechworth;Victoria;;#N/A;;;;;;;
Beerwah;Queensland;;#N/A;;;;;;;
Bega;New South Wales;;#N/A;;;;;;;
Bellbrae;Victoria;;#N/A;;;;;;;
Bellingen;New South Wales;;#N/A;;;;;;;
Benalla;Victoria;;#N/A;;;;;;;
Bendigo;Victoria;melbourne;oui;;;;;;;
Bentley;Western Australia;;#N/A;;;;;;;
Berri;South Australia;;#N/A;;;;;;;
Berry;New South Wales;;#N/A;;;;;;;
Biloela;Queensland;;#N/A;;;;;;;
Blackheath;New South Wales;;#N/A;;;;;;;
Blackwater;Queensland;;#N/A;;;;;;;
Blaxland;New South Wales;;#N/A;;;;;;;
Blayney;New South Wales;;#N/A;;;;;;;
Bli Bli;Queensland;;#N/A;;;;;;;
Bogangar;New South Wales;;#N/A;;;;;;;
Bohle Plains;Queensland;;#N/A;;;;;;;
Bomaderry;New South Wales;;#N/A;;;;;;;
Bongaree;Queensland;;#N/A;;;;;;;
Bonny Hills;New South Wales;;#N/A;;;;;;;
Bonville;New South Wales;;#N/A;;;;;;;
Boonah;Queensland;;#N/A;;;;;;;
Bordertown;South Australia;;#N/A;;;;;;;
Boulder;Western Australia;;#N/A;;;;;;;
Bowen;Queensland;;#N/A;;;;;;;
Bowral;New South Wales;;#N/A;;;;;;;
Boyne Island;Queensland;;#N/A;;;;;;;
Bridgetown;Western Australia;;#N/A;;;;;;;
Bridgewater;South Australia;;#N/A;;;;;;;
Brisbane;Queensland;brisbane;oui;;;;;;;
Broadford;Victoria;;#N/A;;;;;;;
Broken Hill;New South Wales;;#N/A;;;;;;;
Broome;Western Australia;perth;#N/A;;;;;;;
Bucasia;Queensland;;#N/A;;;;;;;
Bullsbrook;Western Australia;;#N/A;;;;;;;
Bunbury;Western Australia;;#N/A;;;;;;;
Bundaberg;Queensland;;#N/A;;;;;;;
Bundanoon;New South Wales;;#N/A;;;;;;;
Bungendore;New South Wales;;#N/A;;;;;;;
Buninyong;Victoria;;#N/A;;;;;;;
Bunyip;Victoria;;#N/A;;;;;;;
Burnett Heads;Queensland;;#N/A;;;;;;;
Burnie;Tasmania;;#N/A;;;;;;;
Burpengary;Queensland;;#N/A;;;;;;;
Burradoo;New South Wales;;#N/A;;;;;;;
Busselton;Western Australia;;#N/A;;;;;;;
Byron Bay;New South Wales;;#N/A;;;;;;;
Caboolture;Queensland;;#N/A;;;;;;;
Cairns;Queensland;brisbane;oui;;;;;;;
Calliope;Queensland;;#N/A;;;;;;;
Caloundra;Queensland;;#N/A;;;;;;;
