Ville;Radar
Adelaide;Nuriootpa
Albany;Perth
Albury;SydneyAirport
AliceSprings;Darwin
BadgerysCreek;SydneyAirport
Ballarat;MelbourneAirport
Bendigo;MelbourneAirport
Brisbane;isole
Cairns;isole
Canberra;SydneyAirport
Cobar;SydneyAirport
CoffsHarbour;Brisbane
Dartmoor;MountGambier
Darwin;isole
GoldCoast;Brisbane
Hobart;isole
Katherine;isole
Launceston;isole
Melbourne;MelbourneAirport
MelbourneAirport;isole
Mildura;isole
Moree;SydneyAirport
MountGambier;Dartmoor
MountGinini;SydneyAirport
Newcastle;SydneyAirport
Nhil;MelbourneAirport
NorahHead;SydneyAirport
NorfolkIsland;Hobart
Nuriootpa;isole
PearceRAAF;Perth
Penrith;SydneyAirport
Perth;isole
PerthAirport;isole
Portland;MelbourneAirport
Richmond;SydneyAirport
Sale;MelbourneAirport
SalmonGums;Perth
Sydney;SydneyAirport
SydneyAirport;isole
Townsville;isole
Tuggeranong;SydneyAirport
Uluru;Darwin
WaggaWagga;SydneyAirport
Walpole;Perth
Watsonia;isole
Williamtown;SydneyAirport
Witchcliffe;Perth
Wollongong;SydneyAirport
Woomera;Dartmoor
