Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;RainTomorrow;year;month;day;week;Radar;Region
2009-01-01;NorfolkIsland;20.4;25.8;0.0;6.0;12.4;NNW;31.0;84.0;71.0;1014.5;1013.6;No;No;2009;1;1;1;Hobart;New South Wales
2009-01-02;NorfolkIsland;20.9;26.7;0.2;8.0;10.3;N;31.0;79.0;77.0;1016.3;1015.5;No;No;2009;1;2;1;Hobart;New South Wales
2009-01-03;NorfolkIsland;22.3;26.3;0.0;3.2;2.0;E;35.0;87.0;90.0;1014.6;1014.3;No;Yes;2009;1;3;1;Hobart;New South Wales
2009-01-04;NorfolkIsland;21.6;22.2;1.2;2.8;0.0;ESE;41.0;92.0;95.0;1016.0;1015.3;Yes;Yes;2009;1;4;1;Hobart;New South Wales
2009-01-05;NorfolkIsland;20.4;23.5;2.6;2.2;2.9;ESE;52.0;86.0;86.0;1015.3;1013.7;Yes;No;2009;1;5;2;Hobart;New South Wales
2009-01-06;NorfolkIsland;20.4;24.4;0.0;3.0;8.7;E;48.0;84.0;79.0;1014.5;1012.7;No;No;2009;1;6;2;Hobart;New South Wales
2009-01-07;NorfolkIsland;20.2;24.2;0.0;7.2;6.0;ESE;52.0;86.0;79.0;1014.1;1013.0;No;No;2009;1;7;2;Hobart;New South Wales
2009-01-08;NorfolkIsland;20.5;24.0;0.0;4.4;6.0;E;52.0;82.0;82.0;1011.5;1009.4;No;No;2009;1;8;2;Hobart;New South Wales
2009-01-09;NorfolkIsland;20.9;22.0;0.0;5.0;0.0;SSE;61.0;92.0;95.0;1003.9;1000.4;No;Yes;2009;1;9;2;Hobart;New South Wales
2009-01-10;NorfolkIsland;18.5;23.1;45.2;15.0;3.0;SE;81.0;77.0;64.0;1001.7;1001.2;Yes;No;2009;1;10;2;Hobart;New South Wales
2009-01-11;NorfolkIsland;19.7;22.8;0.4;5.4;1.2;SE;54.0;83.0;82.0;1006.4;1006.9;No;No;2009;1;11;2;Hobart;New South Wales
2009-01-12;NorfolkIsland;19.8;23.8;0.0;4.0;12.0;SE;37.0;78.0;78.0;1011.2;1010.5;No;No;2009;1;12;3;Hobart;New South Wales
2009-01-13;NorfolkIsland;19.2;23.2;0.0;7.2;7.1;SSE;35.0;77.0;77.0;1011.4;1010.4;No;Yes;2009;1;13;3;Hobart;New South Wales
2009-01-14;NorfolkIsland;17.3;22.5;1.6;5.0;10.4;SSE;46.0;74.0;55.0;1013.2;1012.4;Yes;No;2009;1;14;3;Hobart;New South Wales
2009-01-15;NorfolkIsland;18.5;23.6;0.0;8.0;12.7;SE;37.0;64.0;69.0;1015.3;1015.0;No;No;2009;1;15;3;Hobart;New South Wales
2009-01-16;NorfolkIsland;17.3;22.8;0.0;5.2;11.9;SSE;26.0;63.0;61.0;1016.9;1016.2;No;No;2009;1;16;3;Hobart;New South Wales
2009-01-17;NorfolkIsland;16.2;23.4;0.0;5.8;9.6;NW;30.0;65.0;62.0;1015.0;1013.4;No;Yes;2009;1;17;3;Hobart;New South Wales
