Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;RainTomorrow;year;month;day;week;Radar;Region
2009-01-01;Adelaide;16.9;22.9;0.0;8.0;10.9;SW;50.0;58.0;40.0;1011.3;1012.4;No;No;2009;1;1;1;Nuriootpa;South Australia
2009-01-02;Adelaide;13.9;24.1;0.0;14.2;12.6;SE;37.0;39.0;25.0;1020.9;1018.5;No;No;2009;1;2;1;Nuriootpa;South Australia
2009-01-03;Adelaide;13.8;29.1;0.0;8.0;12.7;SW;30.0;26.0;15.0;1017.6;1014.7;No;No;2009;1;3;1;Nuriootpa;South Australia
2009-01-04;Adelaide;15.1;33.3;0.0;8.0;12.0;W;31.0;25.0;7.0;1013.8;1012.2;No;No;2009;1;4;1;Nuriootpa;South Australia
2009-01-05;Adelaide;14.6;30.5;0.0;24.6;13.3;SW;26.0;28.0;22.0;1015.0;1013.2;No;No;2009;1;5;2;Nuriootpa;South Australia
2009-01-06;Adelaide;15.2;31.0;0.0;8.2;13.3;WSW;31.0;25.0;14.0;1012.0;1008.9;No;No;2009;1;6;2;Nuriootpa;South Australia
2009-01-07;Adelaide;16.0;25.1;0.2;8.2;9.1;SW;48.0;75.0;43.0;1013.3;1013.5;No;No;2009;1;7;2;Nuriootpa;South Australia
2009-01-08;Adelaide;14.3;23.8;0.0;7.4;12.7;SE;37.0;45.0;30.0;1019.9;1019.2;No;No;2009;1;8;2;Nuriootpa;South Australia
2009-01-09;Adelaide;13.8;26.0;0.0;8.0;9.5;ESE;54.0;36.0;27.0;1018.6;1014.8;No;No;2009;1;9;2;Nuriootpa;South Australia
2009-01-10;Adelaide;13.3;28.7;0.0;7.6;12.6;SW;35.0;46.0;29.0;1012.4;1009.6;No;No;2009;1;10;2;Nuriootpa;South Australia
2009-01-11;Adelaide;14.4;28.4;0.0;7.6;12.5;SW;41.0;52.0;32.0;1012.8;1010.7;No;No;2009;1;11;2;Nuriootpa;South Australia
2009-01-12;Adelaide;14.5;35.2;0.0;22.6;12.4;N;28.0;44.0;20.0;1016.8;1013.2;No;No;2009;1;12;3;Nuriootpa;South Australia
2009-01-13;Adelaide;21.1;41.3;0.0;10.2;10.7;NW;54.0;11.0;4.0;1010.0;1007.1;No;No;2009;1;13;3;Nuriootpa;South Australia
2009-01-14;Adelaide;20.0;32.3;0.0;12.6;12.8;W;35.0;57.0;35.0;1011.7;1009.8;No;No;2009;1;14;3;Nuriootpa;South Australia
2009-01-15;Adelaide;15.1;25.2;0.0;10.0;11.3;SW;48.0;55.0;41.0;1018.8;1018.3;No;No;2009;1;15;3;Nuriootpa;South Australia
2009-01-16;Adelaide;14.4;27.6;0.0;7.4;12.6;SSE;35.0;52.0;28.0;1022.7;1021.1;No;No;2009;1;16;3;Nuriootpa;South Australia
2009-01-17;Adelaide;13.3;27.2;0.0;8.0;12.9;W;31.0;41.0;35.0;1023.8;1020.6;No;No;2009;1;17;3;Nuriootpa;South Australia
2009-01-18;Adelaide;16.5;32.9;0.0;10.0;13.0;SE;33.0;22.0;15.0;1018.8;1014.9;No;No;2009;1;18;3;Nuriootpa;South Australia
