Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;RainTomorrow;year;month;day;week;Radar;Region
2009-01-01;Richmond;12.0;33.1;0.0;9.8;12.9;W;61.0;63.0;13.0;1005.5;1001.0;No;No;2009;1;1;1;SydneyAirport;Tasmania
2009-01-02;Richmond;15.9;25.8;0.0;19.0;5.9;SE;50.0;63.0;58.0;1012.6;1012.1;No;No;2009;1;2;1;SydneyAirport;Tasmania
2009-01-03;Richmond;13.6;20.8;0.0;9.0;0.5;E;24.0;52.0;50.0;1021.9;1019.1;No;No;2009;1;3;1;SydneyAirport;Tasmania
2009-01-04;Richmond;16.3;30.1;0.0;5.4;11.3;NE;33.0;60.0;51.0;1018.7;1013.5;No;No;2009;1;4;1;SydneyAirport;Tasmania
2009-01-05;Richmond;14.6;36.5;0.0;15.2;12.2;W;57.0;58.0;52.0;1013.1;1007.7;No;No;2009;1;5;2;SydneyAirport;Tasmania
2009-01-06;Richmond;14.0;38.2;0.0;10.0;11.8;NNW;59.0;82.0;54.0;1011.8;1006.1;No;No;2009;1;6;2;SydneyAirport;Tasmania
2009-01-07;Richmond;15.6;38.2;0.0;9.0;9.3;W;48.0;79.0;52.0;1010.0;1004.2;No;No;2009;1;7;2;SydneyAirport;Tasmania
2009-01-08;Richmond;19.4;21.4;0.0;9.8;0.0;SE;43.0;85.0;78.0;1012.4;1013.4;No;Yes;2009;1;8;2;SydneyAirport;Tasmania
2009-01-09;Richmond;14.2;21.2;1.4;24.0;5.9;E;37.0;54.0;44.0;1020.3;1018.5;Yes;No;2009;1;9;2;SydneyAirport;Tasmania
2009-01-10;Richmond;11.3;25.1;0.0;7.6;6.1;NE;35.0;49.0;44.0;1017.1;1012.7;No;No;2009;1;10;2;SydneyAirport;Tasmania
2009-01-11;Richmond;11.8;28.5;0.0;6.6;8.7;ESE;37.0;57.0;48.0;1014.3;1009.8;No;Yes;2009;1;11;2;SydneyAirport;Tasmania
2009-01-12;Richmond;15.4;28.3;3.4;13.4;11.4;ENE;50.0;81.0;72.0;1015.8;1014.8;Yes;No;2009;1;12;3;SydneyAirport;Tasmania
2009-01-13;Richmond;17.8;31.1;0.2;4.2;11.1;NE;35.0;84.0;48.0;1019.4;1015.0;No;No;2009;1;13;3;SydneyAirport;Tasmania
2009-01-14;Richmond;15.1;38.4;0.0;11.8;13.0;ENE;37.0;57.0;39.0;1014.6;1009.5;No;No;2009;1;14;3;SydneyAirport;Tasmania
2009-01-15;Richmond;17.6;40.7;0.0;8.8;9.4;SE;72.0;42.0;43.0;1008.9;1005.1;No;No;2009;1;15;3;SydneyAirport;Tasmania
2009-01-16;Richmond;15.9;34.9;0.4;10.8;10.1;SE;63.0;73.0;54.0;1012.9;1007.4;No;No;2009;1;16;3;SydneyAirport;Tasmania
2009-01-17;Richmond;14.7;21.4;0.2;10.4;6.5;SSE;35.0;58.0;57.0;1020.8;1020.1;No;No;2009;1;17;3;SydneyAirport;Tasmania
2009-01-18;Richmond;10.7;28.0;0.0;5.6;12.7;NE;33.0;65.0;43.0;1022.1;1018.5;No;No;2009;1;18;3;SydneyAirport;Tasmania
2009-01-19;Richmond;11.6;33.5;0.0;17.8;12.7;ESE;41.0;53.0;23.0;1019.4;1013.5;No;No;2009;1;19;4;SydneyAirport;Tasmania
2009-01-20;Richmond;15.4;39.0;0.0;8.0;12.4;NNW;44.0;60.0;19.0;1013.7;1008.8;No;No;2009;1;20;4;SydneyAirport;Tasmania
2009-01-21;Richmond;21.6;38.9;0.0;9.2;7.4;SSW;46.0;61.0;26.0;1011.7;1006.6;No;Yes;2009;1;21;4;SydneyAirport;Tasmania
2009-01-22;Richmond;21.2;32.6;1.6;7.6;9.8;NW;48.0;65.0;48.0;1008.9;1005.7;Yes;No;2009;1;22;4;SydneyAirport;Tasmania
2009-01-23;Richmond;23.0;36.4;0.2;14.2;11.9;ESE;46.0;53.0;40.0;1008.9;1006.0;No;No;2009;1;23;4;SydneyAirport;Tasmania
2009-01-24;Richmond;23.0;41.0;0.0;10.6;11.1;SE;69.0;51.0;23.0;1004.8;1002.6;No;No;2009;1;24;4;SydneyAirport;Tasmania
2009-01-25;Richmond;19.8;27.6;0.0;13.6;6.8;E;33.0;57.0;40.0;1019.8;1017.4;No;No;2009;1;25;4;SydneyAirport;Tasmania
2009-01-26;Richmond;21.1;30.7;0.0;6.8;1.2;ESE;39.0;64.0;51.0;1019.4;1018.1;No;Yes;2009;1;26;5;SydneyAirport;Tasmania
2009-01-27;Richmond;19.8;29.2;10.6;37.2;1.7;S;28.0;99.0;63.0;1021.4;1019.1;Yes;No;2009;1;27;5;SydneyAirport;Tasmania
2009-01-28;Richmond;18.1;35.1;0.2;4.0;12.3;ENE;33.0;99.0;38.0;1018.7;1014.6;No;No;2009;1;28;5;SydneyAirport;Tasmania
2009-01-29;Richmond;16.9;34.7;0.0;6.6;12.5;ENE;35.0;89.0;37.0;1018.8;1014.9;No;No;2009;1;29;5;SydneyAirport;Tasmania
2009-01-30;Richmond;17.6;34.8;0.0;7.6;13.0;ENE;37.0;74.0;32.0;1018.5;1014.2;No;No;2009;1;30;5;SydneyAirport;Tasmania
2009-01-31;Richmond;17.5;37.5;0.0;7.4;11.5;E;35.0;76.0;31.0;1017.4;1012.1;No;No;2009;1;31;5;SydneyAirport;Tasmania
2009-02-01;Richmond;19.7;33.3;0.0;9.2;11.1;SE;39.0;71.0;43.0;1015.6;1014.4;No;No;2009;2;1;5;SydneyAirport;Tasmania
2009-02-02;Richmond;19.5;35.5;0.0;14.8;9.8;E;37.0;75.0;36.0;1016.3;1010.4;No;No;2009;2;2;6;SydneyAirport;Tasmania
2009-02-03;Richmond;20.5;34.0;0.0;8.0;7.5;SE;46.0;69.0;37.0;1010.8;1008.7;No;No;2009;2;3;6;SydneyAirport;Tasmania
2009-02-04;Richmond;21.6;33.2;0.0;6.4;7.1;E;31.0;77.0;43.0;1011.6;1007.9;No;No;2009;2;4;6;SydneyAirport;Tasmania
2009-02-05;Richmond;19.7;40.1;0.0;5.8;12.2;ENE;35.0;76.0;26.0;1009.2;1004.1;No;No;2009;2;5;6;SydneyAirport;Tasmania
2009-02-06;Richmond;22.1;41.3;0.0;8.0;10.8;ENE;44.0;71.0;23.0;1010.8;1006.2;No;No;2009;2;6;6;SydneyAirport;Tasmania
2009-02-07;Richmond;21.7;41.9;0.0;10.4;11.8;ENE;43.0;64.0;18.0;1013.4;1008.7;No;No;2009;2;7;6;SydneyAirport;Tasmania
2009-02-08;Richmond;17.6;41.4;0.0;14.2;12.2;SE;43.0;54.0;24.0;1010.8;1005.7;No;No;2009;2;8;6;SydneyAirport;Tasmania
2009-02-09;Richmond;21.6;23.5;0.0;28.8;0.0;S;30.0;83.0;71.0;1012.1;1011.6;No;Yes;2009;2;9;7;SydneyAirport;Tasmania
2009-02-10;Richmond;17.3;19.8;2.8;1.8;0.0;SE;24.0;95.0;97.0;1011.4;1010.2;Yes;Yes;2009;2;10;7;SydneyAirport;Tasmania
2009-02-11;Richmond;16.2;21.8;4.6;4.0;1.5;S;35.0;84.0;64.0;1011.6;1011.8;Yes;No;2009;2;11;7;SydneyAirport;Tasmania
2009-02-12;Richmond;15.6;20.6;0.0;1.6;1.1;SE;39.0;75.0;69.0;1017.8;1018.6;No;Yes;2009;2;12;7;SydneyAirport;Tasmania
2009-02-13;Richmond;15.0;18.9;7.6;1.6;0.0;SE;50.0;97.0;91.0;1026.1;1024.9;Yes;Yes;2009;2;13;7;SydneyAirport;Tasmania
2009-02-14;Richmond;15.0;18.4;18.2;4.4;0.0;S;28.0;96.0;96.0;1023.3;1019.2;Yes;Yes;2009;2;14;7;SydneyAirport;Tasmania
2009-02-15;Richmond;15.6;21.7;27.6;2.4;0.2;S;35.0;93.0;90.0;1015.2;1014.1;Yes;Yes;2009;2;15;7;SydneyAirport;Tasmania
2009-02-16;Richmond;16.5;24.4;39.8;4.8;6.4;SE;52.0;97.0;60.0;1018.1;1017.4;Yes;Yes;2009;2;16;8;SydneyAirport;Tasmania
2009-02-17;Richmond;16.5;21.8;3.4;1.8;0.0;SE;31.0;94.0;67.0;1017.3;1015.7;Yes;Yes;2009;2;17;8;SydneyAirport;Tasmania
2009-02-18;Richmond;17.4;27.4;13.6;1.7;7.1;SSW;35.0;83.0;55.0;1011.0;1008.4;Yes;No;2009;2;18;8;SydneyAirport;Tasmania
2009-02-19;Richmond;18.9;29.7;0.0;3.6;11.4;W;59.0;73.0;76.0;1008.0;1005.3;No;Yes;2009;2;19;8;SydneyAirport;Tasmania
2009-02-20;Richmond;18.8;32.4;5.0;5.3;9.6;SE;41.0;82.0;43.0;1011.8;1008.6;Yes;No;2009;2;20;8;SydneyAirport;Tasmania
2009-02-21;Richmond;20.8;26.8;0.2;6.4;0.3;SE;41.0;90.0;87.0;1013.2;1012.6;No;Yes;2009;2;21;8;SydneyAirport;Tasmania
2009-02-22;Richmond;18.5;26.1;24.6;2.4;6.3;SE;28.0;89.0;60.0;1018.9;1017.0;Yes;No;2009;2;22;8;SydneyAirport;Tasmania
2009-02-23;Richmond;19.5;31.6;0.2;10.4;5.3;NNW;54.0;76.0;56.0;1016.9;1011.6;No;Yes;2009;2;23;9;SydneyAirport;Tasmania
2009-02-24;Richmond;18.0;32.5;8.2;5.6;10.7;SE;37.0;99.0;51.0;1014.7;1011.5;Yes;No;2009;2;24;9;SydneyAirport;Tasmania
2009-02-25;Richmond;19.2;30.0;0.2;4.6;7.0;SE;39.0;82.0;55.0;1016.5;1013.1;No;No;2009;2;25;9;SydneyAirport;Tasmania
2009-02-26;Richmond;18.8;25.5;0.0;7.6;6.8;ESE;35.0;75.0;49.0;1020.7;1017.8;No;No;2009;2;26;9;SydneyAirport;Tasmania
2009-02-27;Richmond;15.2;26.2;0.0;8.0;5.6;E;24.0;72.0;45.0;1018.4;1015.1;No;No;2009;2;27;9;SydneyAirport;Tasmania
2009-02-28;Richmond;14.6;32.8;0.0;4.7;5.6;SW;31.0;85.0;44.0;1009.8;1005.6;No;No;2009;2;28;9;SydneyAirport;Tasmania
2009-03-01;Richmond;17.4;28.8;0.0;6.8;10.0;ESE;31.0;76.0;43.0;1010.8;1009.7;No;No;2009;3;1;9;SydneyAirport;Tasmania
2009-03-02;Richmond;18.3;27.8;0.0;9.3;9.0;ENE;52.0;85.0;52.0;1016.6;1014.4;No;No;2009;3;2;10;SydneyAirport;Tasmania
2009-03-03;Richmond;17.7;28.8;0.0;4.6;6.9;ENE;35.0;93.0;55.0;1018.3;1014.6;No;No;2009;3;3;10;SydneyAirport;Tasmania
2009-03-04;Richmond;19.7;25.0;0.0;4.0;0.5;W;44.0;89.0;53.0;1008.0;1008.5;No;No;2009;3;4;10;SydneyAirport;Tasmania
2009-03-05;Richmond;10.3;26.0;0.0;3.8;11.0;ESE;43.0;45.0;29.0;1010.4;1008.0;No;No;2009;3;5;10;SydneyAirport;Tasmania
2009-03-06;Richmond;9.8;26.1;0.0;4.6;9.8;ENE;31.0;77.0;39.0;1014.1;1010.5;No;No;2009;3;6;10;SydneyAirport;Tasmania
2009-03-07;Richmond;13.9;28.4;0.0;4.8;9.2;E;24.0;81.0;44.0;1014.6;1011.2;No;No;2009;3;7;10;SydneyAirport;Tasmania
2009-03-08;Richmond;17.7;25.6;0.0;5.0;4.1;SE;43.0;81.0;65.0;1018.2;1017.9;No;Yes;2009;3;8;10;SydneyAirport;Tasmania
2009-03-09;Richmond;16.8;25.6;17.4;11.6;4.4;SW;46.0;99.0;68.0;1022.6;1019.8;Yes;No;2009;3;9;11;SydneyAirport;Tasmania
2009-03-10;Richmond;17.7;25.9;0.2;2.0;6.7;E;31.0;93.0;57.0;1022.0;1020.6;No;No;2009;3;10;11;SydneyAirport;Tasmania
2009-03-11;Richmond;15.1;24.2;0.0;4.2;1.8;E;35.0;88.0;72.0;1024.4;1022.4;No;Yes;2009;3;11;11;SydneyAirport;Tasmania
2009-03-12;Richmond;15.9;26.5;2.6;2.2;9.8;NE;31.0;99.0;57.0;1023.1;1019.8;Yes;No;2009;3;12;11;SydneyAirport;Tasmania
2009-03-13;Richmond;16.6;27.1;0.0;3.8;2.2;WNW;24.0;99.0;67.0;1019.0;1016.0;No;Yes;2009;3;13;11;SydneyAirport;Tasmania
