Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;RainTomorrow;year;month;day;week;Radar;Region
2009-01-01;Ballarat;8.3;17.0;0.2;5.6;8.8;SW;54.0;87.0;48.0;1004.7;1006.5;No;No;2009;1;1;1;MelbourneAirport;Victoria
2009-01-02;Ballarat;3.0;17.0;0.4;7.2;12.9;SSW;52.0;70.0;35.0;1017.2;1017.6;No;No;2009;1;2;1;MelbourneAirport;Victoria
2009-01-03;Ballarat;0.7;22.5;0.0;6.2;10.5;SE;31.0;61.0;26.0;1018.7;1015.9;No;No;2009;1;3;1;MelbourneAirport;Victoria
2009-01-04;Ballarat;5.9;28.8;0.0;6.4;12.5;S;39.0;24.0;14.0;1014.8;1012.8;No;No;2009;1;4;1;MelbourneAirport;Victoria
2009-01-05;Ballarat;8.3;29.6;0.0;7.4;12.3;W;41.0;42.0;12.0;1012.1;1010.6;No;No;2009;1;5;2;MelbourneAirport;Victoria
2009-01-06;Ballarat;10.8;30.3;0.0;7.2;13.7;SSW;41.0;48.0;30.0;1010.6;1008.0;No;No;2009;1;6;2;MelbourneAirport;Victoria
2009-01-07;Ballarat;13.6;21.1;0.0;8.8;4.4;SSW;44.0;99.0;64.0;1009.2;1009.9;No;No;2009;1;7;2;MelbourneAirport;Victoria
2009-01-08;Ballarat;7.3;18.2;0.0;5.2;11.5;SSW;50.0;71.0;36.0;1016.7;1017.2;No;No;2009;1;8;2;MelbourneAirport;Victoria
2009-01-09;Ballarat;4.3;20.4;0.0;5.6;12.6;SE;44.0;57.0;32.0;1019.5;1016.3;No;No;2009;1;9;2;MelbourneAirport;Victoria
2009-01-10;Ballarat;9.0;26.7;0.0;7.2;10.2;SE;44.0;61.0;16.0;1011.9;1008.6;No;No;2009;1;10;2;MelbourneAirport;Victoria
2009-01-11;Ballarat;9.3;27.1;0.0;6.6;10.2;SSW;48.0;70.0;19.0;1010.0;1008.9;No;No;2009;1;11;2;MelbourneAirport;Victoria
2009-01-12;Ballarat;8.7;26.6;0.0;5.2;7.8;ESE;39.0;86.0;30.0;1017.6;1015.9;No;No;2009;1;12;3;MelbourneAirport;Victoria
2009-01-13;Ballarat;8.6;34.9;0.0;6.8;13.5;N;50.0;20.0;13.0;1013.8;1010.5;No;No;2009;1;13;3;MelbourneAirport;Victoria
2009-01-14;Ballarat;20.3;33.9;0.0;18.6;12.3;S;41.0;16.0;25.0;1009.0;1007.8;No;No;2009;1;14;3;MelbourneAirport;Victoria
2009-01-15;Ballarat;11.1;23.5;0.0;9.2;10.1;SSW;48.0;63.0;33.0;1014.8;1014.2;No;No;2009;1;15;3;MelbourneAirport;Victoria
2009-01-16;Ballarat;9.8;18.6;0.0;8.6;9.9;WSW;54.0;66.0;43.0;1017.2;1018.3;No;No;2009;1;16;3;MelbourneAirport;Victoria
