Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;RainTomorrow;year;month;day;week;Radar;Region
2009-03-06;Dartmoor;8.2;17.6;0.8;3.0;0.0;W;26.0;86.0;68.0;1018.2;1016.7;No;No;2009;3;6;10;isole;Western Australia
2009-03-07;Dartmoor;10.1;19.9;0.8;1.2;5.8;SSW;41.0;98.0;52.0;1017.8;1018.1;No;No;2009;3;7;10;isole;Western Australia
2009-03-08;Dartmoor;8.8;20.5;0.2;3.6;7.4;SE;41.0;68.0;54.0;1021.9;1020.9;No;No;2009;3;8;10;isole;Western Australia
2009-03-09;Dartmoor;8.0;23.9;0.0;4.0;11.2;SSE;39.0;82.0;47.0;1021.7;1019.1;No;No;2009;3;9;11;isole;Western Australia
2009-03-10;Dartmoor;12.9;27.6;0.0;4.2;4.9;ESE;44.0;86.0;44.0;1020.4;1017.8;No;No;2009;3;10;11;isole;Western Australia
2009-03-11;Dartmoor;14.1;29.7;0.0;3.0;4.6;NW;44.0;91.0;42.0;1019.7;1016.2;No;Yes;2009;3;11;11;isole;Western Australia
2009-03-12;Dartmoor;15.8;28.1;19.0;5.0;10.5;SW;35.0;90.0;51.0;1015.6;1014.1;Yes;No;2009;3;12;11;isole;Western Australia
2009-03-13;Dartmoor;14.3;29.4;0.0;4.0;8.7;SW;31.0;86.0;43.0;1015.9;1013.6;No;Yes;2009;3;13;11;isole;Western Australia
2009-03-14;Dartmoor;14.5;20.1;14.2;6.4;8.1;W;72.0;93.0;81.0;1008.8;1009.5;Yes;Yes;2009;3;14;11;isole;Western Australia
2009-03-15;Dartmoor;9.3;17.8;9.6;4.6;7.8;SW;54.0;91.0;57.0;1012.3;1012.4;Yes;Yes;2009;3;15;11;isole;Western Australia
2009-03-16;Dartmoor;10.2;18.0;3.8;3.0;5.9;SW;41.0;94.0;72.0;1014.4;1015.6;Yes;No;2009;3;16;12;isole;Western Australia
2009-03-17;Dartmoor;11.1;15.9;0.2;3.0;0.0;SSW;31.0;75.0;74.0;1019.9;1019.7;No;No;2009;3;17;12;isole;Western Australia
2009-03-18;Dartmoor;5.6;24.8;0.0;1.8;9.5;NNW;33.0;91.0;44.0;1016.3;1012.6;No;No;2009;3;18;12;isole;Western Australia
2009-03-19;Dartmoor;8.0;22.3;0.0;5.2;10.7;SW;33.0;82.0;67.0;1012.3;1012.8;No;No;2009;3;19;12;isole;Western Australia
2009-03-20;Dartmoor;5.2;23.6;0.0;3.2;10.6;SSW;28.0;98.0;50.0;1016.5;1013.5;No;No;2009;3;20;12;isole;Western Australia
2009-03-21;Dartmoor;7.9;34.6;0.0;3.6;7.5;NW;57.0;93.0;22.0;1010.1;1006.4;No;No;2009;3;21;12;isole;Western Australia
2009-03-22;Dartmoor;11.3;18.5;0.4;4.0;1.5;SSW;39.0;92.0;65.0;1015.3;1016.0;No;No;2009;3;22;12;isole;Western Australia
2009-03-23;Dartmoor;5.1;20.7;0.0;2.8;10.5;SE;35.0;93.0;56.0;1018.6;1016.8;No;No;2009;3;23;13;isole;Western Australia
