;number_row;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;year;month;day;week;E;ENE;ESE;N;NE;NNE;NNW;NW;S;SE;SSE;SSW;SW;W;WNW;WSW;Location_Albury;Location_BadgerysCreek;Location_Canberra;Location_Cobar;Location_CoffsHarbour;Location_Moree;Location_MountGinini;Location_Newcastle;Location_NorahHead;Location_NorfolkIsland;Location_Penrith;Location_Sydney;Location_SydneyAirport;Location_Tuggeranong;Location_WaggaWagga;Location_Williamtown;Location_Wollongong;Region_New South Wales;Radar_Brisbane;Radar_Hobart;Radar_SydneyAirport;Radar_isole;RainTomorrow
0;35908;-0.15816053889327622;-0.4504407947478159;-0.22379728133727683;-0.7669676497297915;-1.6193127083136092;-0.8431457000347317;0.960818892287043;0.9060900738906869;-0.3013221014491061;-0.199764765816888;0;2011;5;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
1;33130;-0.31326021586265557;-1.321017278386763;1.993928406182877;-0.4381394945349545;-1.1988488638798247;1.5996472804622157;1.0742775466192163;1.626634405439137;-2.877396944183133;-2.699139744955163;1;2011;9;29;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
2;13720;0.2450986212271101;1.5710673113290603;-0.28777013770805054;0.21951681585471972;1.1925392513373247;0.27355966247815866;-1.0247075585259877;-2.024123541073011;-0.3745060458449595;-0.332867575356793;0;2014;11;7;45;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
3;48341;-2.205476274889084;-3.194970048253649;-0.28777013770805054;-0.5477488795999002;-1.9346605916389474;1.3204709398339933;1.528112163947909;1.962888426828414;-0.28668531256993207;-0.5399163901966471;0;2015;5;31;22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
4;46710;-1.8642569855564493;-1.9259941568477263;-0.28777013770805054;-0.2737254169375358;0.7195174263493169;1.180882769519882;0.0531496576296575;-0.5830348779761104;0.020687253892655584;-0.11102955945694579;0;2010;5;14;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
5;36074;0.9585571352862552;0.6267131595851181;-0.28777013770805054;-0.10931133934011737;-0.5944320875062595;1.1110886843628263;0.3935256206261771;0.9541263626605835;-2.540750799962214;-2.004047295135652;0;2012;2;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
6;34199;-0.2977502481657177;1.8809335173700417;-0.28777013770805054;0.7127590486469753;0.7720754069035403;0.9715005140487151;-2.272752756179893;-2.2643049849224943;-0.8867936566159335;-1.5307928612159711;0;2014;10;31;44;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
7;37108;-0.40632002204428314;0.22831375181814245;-0.28777013770805054;0.05510273825730105;0.35161156246975545;-0.9827338703488429;0.7906309107887832;1.0501989402003769;0.4012437647510967;0.36222487446271817;0;2016;5;7;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
8;43730;0.46223816898424125;0.6267131595851181;0.09606700051659152;2.2472904395562145;-1.9346605916389474;0.203765577321103;0.7339015836226966;-1.255542920754664;-0.798972923340906;-0.5547055912566402;1;2009;12;18;51;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
9;21047;1.284266456921952;0.4201356888911309;-0.20247299588035228;-0.2737254169375358;0.22021661108419777;-0.35458710393534215;1.4146535096157358;1.194307806510067;-0.5647843012741718;-0.15539716263692532;0;2010;12;13;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
10;45153;-0.48386986052897285;-0.3176409921588242;-0.010554426768031266;-0.49294418706742726;0.7195174263493169;-0.7035575297206204;1.6983001454461688;1.0982352289702735;0.29878624259689524;0.569273689302589;1;2014;3;30;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
11;567;-1.957316791738077;-1.4095504801127576;-0.26644585225112594;-0.3285301094700087;0.7457964166264284;-1.750468807076455;0.7339015836226966;0.04143687603254649;1.2501775197430063;1.101684927462209;0;2010;8;7;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
12;48039;-3.0430145305237324;-3.5491028551576274;0.33063414054276163;0.2743215083871926;0.6932384360722055;-0.6337634445635647;-1.8189181388512001;1.2903803840498602;0.9281681644012446;1.6340961656218622;1;2014;8;2;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
13;1532;-1.941806824041139;-1.4833281482177532;-0.28777013770805054;-0.6573582646648458;-1.6718706888678323;-1.6108806367623436;1.1310068737853027;0.08947316480244318;2.7724035631767374;2.58060503346119;0;2013;7;9;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
14;49027;-0.7475393113769178;-1.0996842740717767;-0.28777013770805054;-0.3833348020024816;0.509285504132425;-0.6337634445635647;-0.7410609226955548;0.3296546086519266;1.2501775197430063;1.397468948662005;0;2017;4;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
15;13081;0.8189674260138139;-0.4209297275058178;-0.20247299588035228;0.8771731262443937;-1.7769866499762785;-0.4941752742494534;1.1310068737853027;1.2423440952799636;-0.6672418234283732;-0.4807595859566911;0;2012;9;29;39;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
